Customer_ID,Recency,Frequency,Monetary,Profit,Avg_Order_Value,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
AA-103151,9,5,1445,12.875999999999976,144.5,5,3,3,533,Loyal_Customers,0
AA-103152,14,7,6105,568.737,381.5625,5,4,5,545,Champions,1
AA-103153,695,2,633,228.95999999999998,126.6,1,1,2,112,Lost_Customers,2
AA-103154,185,5,5565,-362.88249999999994,505.90909090909093,2,3,5,235,At_Risk,1
AA-103751,7,4,2407,577.935,267.44444444444446,5,2,3,523,Potential_Loyalists,0
AA-103752,318,3,560,-60.257999999999996,80.0,2,1,2,212,Needs_Attention,0
AA-103753,35,7,1861,-117.58200000000006,169.1818181818182,4,4,3,443,Loyal_Customers,0
AA-103754,20,9,1056,277.3824,70.4,5,5,2,552,Loyal_Customers,1
AA-104801,126,5,5946,601.3884,991.0,3,3,5,335,Loyal_Customers,1
AA-104802,230,7,5253,190.99650000000003,525.3,2,4,5,245,At_Risk,1
AA-104803,237,4,4704,288.26288,470.4,2,2,5,225,Needs_Attention,0
AA-104804,260,4,1792,435.8274,149.33333333333334,2,2,3,223,Needs_Attention,0
AA-106451,29,12,5264,1578.0795,219.33333333333334,5,5,5,555,Champions,1
AA-106452,234,9,2730,219.05700000000002,170.625,2,5,4,254,At_Risk,1
AA-106453,56,9,2263,396.49920000000003,150.86666666666667,4,5,3,453,Loyal_Customers,1
AA-106454,56,6,5087,857.8033,282.6111111111111,4,3,5,435,Loyal_Customers,1
AA-3151,154,1,11,4.29,11.0,2,1,1,211,Needs_Attention,0
AA-3152,3,6,2234,531.276,319.14285714285717,5,3,3,533,Loyal_Customers,0
AA-3751,300,4,365,49.482,60.833333333333336,2,2,1,221,Needs_Attention,0
AA-3752,826,1,27,11.28,27.0,1,1,1,111,Lost_Customers,2
AA-3753,254,3,261,16.680000000000003,43.5,2,1,1,211,Needs_Attention,0
AA-4801,876,2,496,25.68,99.2,1,1,1,111,Lost_Customers,2
AA-4802,938,1,1085,488.1,1085.0,1,1,2,112,Lost_Customers,2
AA-4803,315,2,482,40.832999999999984,120.5,2,1,1,211,Needs_Attention,0
AA-6451,61,8,1503,-820.4159999999999,100.2,4,4,3,443,Loyal_Customers,0
AA-6452,52,3,465,212.07,155.0,4,1,1,411,Potential_Loyalists,0
AB-100151,114,9,10662,1772.7075,323.09090909090907,3,5,5,355,Loyal_Customers,1
AB-100152,253,12,6116,1122.894,254.83333333333334,2,5,5,255,At_Risk,1
AB-100153,17,8,2375,694.54,169.64285714285714,5,4,3,543,Loyal_Customers,1
AB-100154,416,3,887,129.3465,147.83333333333334,1,1,2,112,Lost_Customers,0
AB-100601,82,9,2107,320.27639999999997,162.07692307692307,3,5,3,353,Loyal_Customers,1
AB-100602,227,5,3345,1020.066,477.85714285714283,2,3,4,234,At_Risk,0
AB-100603,43,10,5210,1119.128,274.2105263157895,4,5,5,455,Champions,1
AB-100604,55,8,7757,2054.5885,430.94444444444446,4,4,5,445,Champions,1
AB-101051,217,7,4309,1451.607,307.7857142857143,2,4,5,245,At_Risk,1
AB-101052,28,6,2949,276.91800000000006,226.84615384615384,5,3,4,534,Loyal_Customers,0
AB-101053,33,10,1234,-260.716,82.26666666666667,5,5,2,552,Loyal_Customers,1
AB-101054,42,10,14476,5444.8055,723.8,4,5,5,455,Champions,1
AB-101501,111,4,429,92.793,107.25,3,2,1,321,Needs_Attention,0
AB-101502,104,6,9139,1009.5120000000001,703.0,3,3,5,335,Loyal_Customers,1
AB-101503,36,9,2523,648.2496,140.16666666666666,4,5,3,453,Loyal_Customers,1
AB-101504,42,5,969,313.65970000000004,80.75,4,3,2,432,Loyal_Customers,0
AB-101651,390,5,3435,578.784,343.5,1,3,4,134,At_Risk,0
AB-101652,14,11,6437,1322.793,292.59090909090907,5,5,5,555,Champions,1
AB-101653,61,5,668,207.07999999999998,111.33333333333333,4,3,2,432,Loyal_Customers,0
AB-101654,26,8,1114,220.813,79.57142857142857,5,4,2,542,Loyal_Customers,0
AB-102551,191,7,4277,-879.9366,285.1333333333333,2,4,5,245,At_Risk,1
AB-102552,257,6,949,262.755,105.44444444444444,2,3,2,232,At_Risk,0
AB-102553,6,9,4644,309.376,309.6,5,5,5,555,Champions,1
AB-102554,167,9,914,264.5675,65.28571428571429,2,5,2,252,At_Risk,0
AB-1051,403,2,97,10.41,48.5,1,1,1,111,Lost_Customers,2
AB-1052,231,1,64,25.02,32.0,2,1,1,211,Needs_Attention,0
